date, ConfirmedCases, ActiveCases, RecoveredCases, Deaths
2020-07-17 18:06:58.426213,3769727,1889036,1738629,142062
2020-07-17 21:39:44.917702,3770012,1886715,1741233,142064
2020-07-18 14:05:25.768161,3816867,1903692,1770486,142689
2020-07-18 23:19:26.636282,3833271,1915175,1775219,142877
2020-07-19 14:56:24.533922,3886774,1945810,1797738,143226
2020-07-19 14:59:30.758813,3886864,1945900,1797738,143226
2020-07-19 17:54:34.576169,3896855,1951248,1802338,143269
2020-07-21 10:39:49.757452,3986643,1983371,1858940,144332
2020-07-21 15:49:06.166766,4023947,1994723,1884336,144888
2020-07-22 10:51:04.114315,4054656,2011583,1897680,145393
